Title,Author,Year
The Black Witch (The Black Witch Chronicles),Laurie Forest,First published in 2018
The writer's complete fantasy reference: an indispensable compendium of myth and magic,Writer's Digest Books (Firm),First published in 1998
"Wanderlust (Dragonlance: The Meetings Sextet, Vol. 2)",Steve Winter,First published in 1991
Hatchling,Midori Snyder,First published in 1995
"Dark Side of the Moon (A Dark-Hunter Novel, Book 10)",Sherrilyn Kenyon,First published in 2006
Lost Lands: The Lost City of Barakus PF PoD,Bill Webb,First published in 2013
Trey of Swords,Andre Norton,First published in 1977
Archangel's Kiss,Nalini Singh,First published in 2010
Legends of the Dragonrealm: Dragon Masters,Richard A. Knaak,First published in 2017
Dreams of dark and light: the great short fiction,Tanith Lee,First published in 1986
The Silver Spike: The Chronicles of the Black Company (Chronicles of The Black Company),Glen Cook,First published in 1989
Empress of Forever: A Novel,Max Gladstone,First published in 2019
Peter Pan,James Matthew Barrie,First published in 2014
The Fake Husband : At the Carolina Diner (Harlequin Superromance No. 1177),Lynnette Kent,First published in 2004
Dragonet Prophecy (Wings of Fire #1),Tui T. Sutherland,First published in 2012
Wings of Fire Collection,Tui T. Sutherland,First published in 2013
Amulet Boxed Set: books 1 - 3,Kazu Kibuishi,First published in 2013
Nona the Ninth,Tamsyn Muir,Unknown
Johannes Cabal the Necromancer,Jonathan L. Howard,First published in 2009
Puff the Magic Dragon,Romeo Muller,First published in 1979
Coffret Amulet - Tomes 1 ? 7,Kazu Kibuishi,First published in 2016
The goddess chronicle,桐野 夏生,First published in 2012
Legacy of the Drow,R. A. Salvatore,First published in 2001
The  building of the city beautiful,Joaquin Miller,First published in 1893
Screening space: the American science fiction film,Vivian Carol Sobchack,First published in 1987
The Mammoth Book of Vintage Science Fiction: Short Novels of the 1950s,Isaac Asimov,First published in 1988
Signs of change: seven lectures,William Morris,First published in 1888
Greenwillow.,B. J. Chute,First published in 1956
The True Queen: A Sorcerer to the Crown Novel,Zen Cho,First published in 2019
"Tales of mystery, imagination, & humour: and poems.",Edgar Allan Poe,First published in 1852
Arcade catastrophe,Brandon Mull,First published in 2012
"Tales of the Slayer, Vol. II (Buffy the Vampire Slayer)",Joss Whedon,First published in 2001
The Best of Jack Vance,Jack Vance,First published in 1976
Gryphon in Glory,Andre Norton,First published in 1981
Charmed Destinies: 3 Novels in 1,Mercedes Lackey,First published in 2003
Snakecharm,Amelia Atwater-Rhodes,First published in 2004
Heroine Complex,Sarah Kuhn,First published in 2016
Zara the Starlight Fairy,Daisy Meadows,First published in 2010
Skeleton for dinner,Margery Cuyler,First published in 2013
Snow White: A Graphic Novel,Matt Phelan,First published in 2016
Stars Are Legion (16pt Large Print Edition),Kameron Hurley,First published in 2017
Against the tide,Tui T. Sutherland,First published in 2014
How Are You Peeling? (bkshelf) (Scholastic Bookshelf),Saxton Freymann,First published in 1999
"Shatterproof (The 39 Clues: Cahills vs. Vespers, #4)",Roland Smith,First published in 2012
Nina the Birthday Cake Fairy,Daisy Meadows,First published in 2013
Maia,Richard Adams,First published in 1986
Harry Potter: Hufflepuff Glass Votive Candle,Hardie Grant Books Staff,First published in 2015
Thunder Steel A Warhammer Omnibus,Dan Abnett,First published in 2011
Temeraire,Naomi Novik,First published in 2006
"Naruto, Volume 30",Masashi Kishimoto,First published in 2008
Edgar Allan Poe.,George Edward Woodberry,First published in 1885
Tolkien Bestiary,David Day,First published in 1984
The stone fey,Robin McKinley,First published in 1998
Blood trillium,Julian May,First published in 1992
The Magic Faraway Tree Collection,Enid Blyton,First published in 1987
Wellspring of chaos,"L. E. Modesitt, Jr.",First published in 2004
Cybele's Secret,Juliet Marillier,First published in 2008
Anna and Elsa's Secret Playtime (Disney Frozen) (Big Golden Book),Victoria Saxon,First published in 2016
"Mistborn Trilogy: The Final Empire, the Well of Ascension, the Hero of Ages",Brandon Sanderson,First published in 2001
The prey of gods,Nicky Drayden,First published in 2017
Kingdom of Souls,Rena Barron,First published in 2019
Elric at the End of Time,Michael Moorcock,First published in 1984
The Sorceress Of Belmair,Bertrice Small,First published in 2008
Blue exorcist,Kazue Katō,First published in 2009
Bleach Volume 37: Beauty is So Solitary,Tite Kubo,First published in 2011
Finding Serendipity,"Banks, Angelica",First published in 2014
Fables: 1001 Nights of Snowfall,Bill Willingham,First published in 2002
Vampires in the lemon grove: stories,Karen Russell,First published in 2013
Sophie Quire and the last Storyguard: a story,Jonathan Auxier,First published in 2016
The Dragon in the Sword,Michael Moorcock,First published in 1986
The harp of the Imach Thyssel,Patricia C. Wrede,First published in 1985
The drawing of the dark,Tim Powers,First published in 1981
"Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,First published in 2005
Naomi The Netball Fairy,Daisy Meadows,First published in 2009
The Year's Best Science Fiction: Fifteenth Annual Collection (Year's Best Science Fiction),Gardner R. Dozois,First published in 1998
Where's Wally?: wildly wonderful activity book,Martin Handford,First published in 1993
You write it: science fiction,"Hamilton, John",First published in 2009
The Mageborn Traitor,Melanie Rawn,First published in 1997
Dinotopia,James Gurney,First published in 1992
Yendi,Steven Brust,First published in 1984
Preacher: All Hell's a-Coming,Garth Ennis,First published in 2000
The venging,Greg Bear,First published in 1992
Midget,Tim Bowler,First published in 1994
"Sailor Moon, Vol. 10",Naoko Takeuchi,First published in 1996
Broken sky,Chris Wooding,First published in 1999
The fairies: a poem,William Allingham,First published in 1880
Bad luck,Pseudonymous Bosch,First published in 2016
Transcendent (Destiny's Children),Stephen Baxter,First published in 2005
"El misterio de Gaia: una sorprendente historia de esclavitud y esperanza, inspirada en hechos reales",Carlos Cuauhtémoc Sánchez,First published in 2004
Doctor Who: Four Doctors,Paul Cornell,First published in 2015
Secret Kingdom : Special 8: Royal Bridesmaids,Rosie Banks,First published in 2016
The stone and the flute,Hans Bemmann,First published in 1987
Poor Stainless,Mary Norton,First published in 1971
"Lord of the Clans (Warcraft, Book 2)",Christie Golden,First published in 2001
Sword of Destiny: Tales of the Witcher - Now a Major Netflix Show,Andrzej Sapkowski,First published in 2020
The fabulous valley,Dennis Wheatley,First published in 1950
My Book of Favorite Fairy Tales,Edric Vredenburg,First published in 2006
Die: Fantasy Heartbreaker,Kieron Gillen,First published in 2019
Star Wars: Zorba the Hutt's Revenge,Paul Davids,First published in 1992
Trigun: Multiple Bullets,Yasuhiro Nightow,First published in 2003
The Christmas rat,Avi,First published in 2000
"Avatar: the Last Airbender: North and South, Part Two",Gene Luen Yang,First published in 2017
Muerte de tinta,Cornelia Funke,First published in 2008
Legacy of secrets,Ridley Pearson,First published in 2016
Jennifer The Babysitter Fairy: Baby The Babysitter Fairy,Daisy Meadows,First published in 2013
Dragon Cauldron,Laurence Yep,First published in 1991
Dr. Ox's experiment: and other stories.,Jules Verne,First published in 1875
Dragon's Milk: Dragon Chronicles #1,Susan Fletcher,First published in 1989
Firebird (Fairy Tales #1),Mercedes Lackey,First published in 1996
Star Trek: the manga,Bettina Kurkoski,First published in 2006
Salute the dark,Adrian Tchaikovsky,First published in 2010
Dragon overnight,Sarah Mlynowski,First published in 2018
"Mythmaker: the life of J.R.R. Tolkien, creator of The hobbit and The lord of the rings",Anne E. Neimark,First published in 1996
In the shadow of the vampire: reflections from the world of Anne Rice,Jana Marcus,First published in 1997
Storm Front,Jim Butcher,First published in 2007
The Minstrel and the Dragon Pup,Rosemary Sutcliff,First published in 1993
Indiana Jones And The Army Of The Dead,Steve Perry,First published in 2009
"Lord of the Vampires (Royal House of Shadows, #1)",Gena Showalter,First published in 2011
Nocturna,Maya Motayne,First published in 2019
The tooth fairy,Graham Joyce,First published in 1996
Hidden Empire,Orson Scott Card,First published in 2009
A search for the king,Gore Vidal,First published in 1950
Sword Coast adventurer's guide,Unknown,First published in 2015
Jumper: Griffin's story,Steven Gould,First published in 2007
Follow Me to Ground: A Novel,Sue Rainsford,First published in 2018
Twenty-four hours,Margaret Mahy,First published in 2000
Raintree,Linda Howard,First published in 2008
Mickey & me: a baseball card adventure,Dan Gutman,First published in 2003
Siberia: A Novel,Ann Halam,First published in 2005
Scene of the Crime: Who Killed Shelly Sinclair?,Carla Cassidy,First published in 2014
Soltra the stone charmer,Adam Blade,First published in 2008
Merlin dreams,Peter Dickinson,First published in 1988
Death,Neil Gaiman,First published in 2012
The onion girl,Charles de Lint,First published in 2001
The savage tales of Solomon Kane,Robert E. Howard,First published in 1998
The Man Who Spoke Snakish,Andrus Kivirähk,First published in 2015
Fallen: A Novel of Noreela,Tim Lebbon,First published in 2008
Tortall and other lands: a collection of tales,Tamora Pierce,First published in 2011
Rutabaga the adventure chef,Eric Colossal,First published in 2015
Demon Prince (Love Spell),Kathleen Morgan,First published in 1994
The Coven,Cate Tiernan,First published in 2001
Conan the invincible,Robert Jordan,First published in 1982
Low Town,Daniel Polansky,First published in 2011
Conan The Unconquered (Conan),Robert Jordan,First published in 1983
Numbers in the dark: and other stories,Italo Calvino,First published in 1995
Moon Craving,Lucy Monroe,First published in 2010
Museum of thieves,Lian Tanner,First published in 2010
Fridays with the Wizards,Jessica Day George,First published in 2016
It's Superman,Tom De Haven,First published in 2005
Willa of the wood,Robert Beatty,First published in 2018
Walt Disney Pictures' Return to Oz.,Walt Disney,First published in 1985
The irregular at Magic High School,"Satō, Tsutomu (Comic book author)",First published in 2016
"The Red Wyvern (Dragon Mage, Book 1)",Katharine Kerr,First published in 1997
"Konosuba, God's blessing on this wonderful world!: Oh! My useless Goddess! / Natsume Akatsuki ; illustration by Kurone Mishima",Natsume Akatsuki,First published in 2017
The making of the Wizard of Oz: movie magic and studio power in the prime of MGM--and the miracle of production #1060,Aljean Harmetz,First published in 1977
Strangely Enough,Carroll Burleigh Colby (1904-1977),First published in 1940
Vision in silver,Anne Bishop,First published in 2015
"Voice of the Gods (Age of the Five Trilogy, Book 3)",Trudi Canavan,First published in 2007
Winter Moon,Mercedes Lackey,First published in 2005
Sharper Than A Serpent's Tooth: A Novel of the Nightside (Ace Fantasy Book),Simon R. Green,First published in 2006
The Demon Tide,Laurie Forest,First published in 2021
Vicious/Vengeful slipcase: V.E. Schwab,V. E. Schwab,First published in 2021
To Reign in Hell,Steven Brust,First published in 1984
"The mermaid, the witch, and the sea",Maggie Tokuda-Hall,First published in 2020
Woven in Moonlight,Isabel Ibañez,First published in 2019
The wishing tree,Ruth Chew,First published in 1980
Weird Tales: The Magazine That Never Dies,Marvin Kaye,First published in 1988
To reign in hell,Steven Brust,First published in 1985
WAYLANDER,David A. Gemmell,First published in 1986
Wolf Rain,Nalini Singh,First published in 2019
The king's blood,Daniel Abraham,First published in 2012
Revenge of the rainbow dragons,Rose Estes,First published in 1983
Fell,David Clement-Davies,First published in 2007
Buddha,Osamu Tezuka,First published in 2003
Jim Butcher's Dresden Files: Bigfoot,Carlos Gomez,First published in 2014
The battle of Bubble and Squeak,Philippa Pearce,First published in 1978
Rita the frog princess fairy,Daisy Meadows,First published in 2016
The sorcerer's house,Gene Wolfe,First published in 2010
Dragons of Time,Margaret Weis,First published in 2007
Blood cross: a Jane Yellowrock novel,Faith Hunter,First published in 2010
This is not a game,Walter Jon Williams,First published in 2009
